keyword,product_name,price,price_original,discount_percentage,rating,shop.name,url,document,document_clean
keyboard,Mtech Keyboard Stk 01 + Mtech Mouse Usb T1 (One Set),56500,,0,4.6,Vioshoponline,https://www.tokopedia.com/vioshoponline/mtech-keyboard-stk-01-mtech-mouse-usb-t1-one-set-1732320874138731977?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592134ED066DF378EF3DFRGZ%26src%3Dsearch,Mtech Keyboard Stk 01 + Mtech Mouse Usb T1 (One Set) keyboard,mtech keyboard stk 01 mtech mouse usb t1 one set keyboard
keyboard,keyboard logitech K120 Usb,40000,,0,,Rizqy Saputra Computindo,https://www.tokopedia.com/sudawirat86/keyboard-logitech-k120-usb?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592134ED066DF378EF3DFRGZ%26src%3Dsearch,keyboard logitech K120 Usb keyboard,keyboard logitech k120 usb keyboard
keyboard,"Set keyboard kantor dan game, penggunaan kantor yang tenang, nuansa mekanis berkabel, periferal komputer nirkabel e-sports",107600,Rp164.000,34,4.9,PT. Kivee International Trade,https://www.tokopedia.com/pt-kivee-international-trade/set-keyboard-kantor-dan-game-penggunaan-kantor-yang-tenang-nuansa-mekanis-berkabel-periferal-komputer-nirkabel-e-sports-1733302993991403181?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592311B9842E0A271F0F2P5H%26src%3Dsearch,"Set keyboard kantor dan game, penggunaan kantor yang tenang, nuansa mekanis berkabel, periferal komputer nirkabel e-sports keyboard",set keyboard kantor game guna kantor tenang nuansa mekanis kabel periferal komputer nirkabel e sports keyboard
keyboard,NYK Nemesis SACRED K-02 Full Size Keyboard Gaming Anti Spill & Splashing,110000,Rp140.000,21,5.0,ITShop Online,https://www.tokopedia.com/it-shoponline/nyk-nemesis-sacred-k-02-full-size-keyboard-gaming-anti-spill-splashing-1734231508321797185?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592311B9842E0A271F0F2P5H%26src%3Dsearch%26whid%3D12666199,NYK Nemesis SACRED K-02 Full Size Keyboard Gaming Anti Spill & Splashing keyboard,nyk nemesis sacred k 02 full size keyboard gaming anti spill splashing keyboard
keyboard,"MA K61 Keyboard Gaming Mechanical 61 Tombol RGB – Keycap Hati, Mini Keyboard Gamer, LED Backlight, Desain Kekinian, Cocok untuk Game & Kantor",179999,Rp239.999,25,5.0,MengmaStore,https://www.tokopedia.com/mengmastore/aoc-k61-keyboard-mekanik-gaming-61-tombol-keycap-hati-rgb-portable-wireless-set-combo-keyboard-dan-mouse-tanpa-kabel-tipe-w100-original-keyboard-untuk-pc-desktop-dan-laptop-1734779807845943250-1734779751526860754?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592311B9842E0A271F0F2P5H%26src%3Dsearch,"MA K61 Keyboard Gaming Mechanical 61 Tombol RGB – Keycap Hati, Mini Keyboard Gamer, LED Backlight, Desain Kekinian, Cocok untuk Game & Kantor keyboard",ma k61 keyboard gaming mechanical 61 tombol rgb keycap hati mini keyboard gamer led backlight desain kini cocok game kantor keyboard
keyboard,K61 Keyboard Mekanik Gaming 61 Tombol Keycap Hati RGB,34999,Rp69.999,50,3.4,Molong-PC,https://www.tokopedia.com/molong-pc-380/raiku-g701-mouse-gaming-rgb-ringan-berlubang-kabel-braided-efek-keren-responsif-1734524728410342516-1734697852266513524?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592311B9842E0A271F0F2P5H%26src%3Dsearch,K61 Keyboard Mekanik Gaming 61 Tombol Keycap Hati RGB keyboard,k61 keyboard mekanik gaming 61 tombol keycap hati rgb keyboard
keyboard,FURYCUBE K99PRO Wireless Mechanical Keyboard Transparent Contour RGB 5-pin Type-c/2.4G USB/BT5.0 Gaming Keyboard,741159,Rp781.159,5,4.7,FURYCUBE Official Store,https://www.tokopedia.com/furycube-official-store/furycube-k99pro-wireless-mechanical-keyboard-semi-transparent-contour-keycaps-full-rgb-5-pin-cream-white-switch-self-lubricating-5-layer-filling-type-c-2-4g-usb-bt5-0-3-modes-gaming-keyboard-mobile-phone-ipad-computer-keyboard-support-win-mac-1733895104217253612?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592311B9842E0A271F0F2P5H%26src%3Dsearch,FURYCUBE K99PRO Wireless Mechanical Keyboard Transparent Contour RGB 5-pin Type-c/2.4G USB/BT5.0 Gaming Keyboard keyboard,furycube k99pro wireless mechanical keyboard transparent contour rgb 5 pin type c 2 4g usb bt5 0 gaming keyboard keyboard
keyboard,Keyboard Mekanik RK S98 RK ROYAL KLUDGE Tri-mode Hot-swap RGB Backlight Bluetooth Wireless PBT Keycap - Mouse Computer Wired Multicoloured creamy keyboards,1048895,Rp1.600.000,34,4.6,RoyalKludge.ID,https://www.tokopedia.com/royalkludgeid/keyboard-mekanik-rk-s98-rk-royal-kludge-tri-mode-hot-swap-rgb-backlight-bluetooth-wireless-pbt-keycap-mouse-computer-wired-multicoloured-creamy-keyboards-1729667168881968306?extParam=ivf%3Dtrue%26keyword%3Dkeyboard%26search_id%3D2026051804592311B9842E0A271F0F2P5H%26src%3Dsearch,Keyboard Mekanik RK S98 RK ROYAL KLUDGE Tri-mode Hot-swap RGB Backlight Bluetooth Wireless PBT Keycap - Mouse Computer Wired Multicoloured creamy keyboards keyboard,keyboard mekanik rk s98 rk royal kludge tri mode hot swap rgb backlight bluetooth wireless pbt keycap mouse computer wired multicoloured creamy keyboards keyboard
keyboard,FURYCUBE IP98/IP98PRO Mechanical Feel Keyboard 99 keys Membrane Keyboard PBT Gradient Side Engraved Wired/Wireless Keyboard Classic Keyboard Full RGB Gaming Keyboard Office Silent Keyboard (Garansi 1 tahun),180920,Rp346.377,48,4.8,ZIFRIEND Indonesia,https://www.tokopedia.com/zifriend/furycube-ip98-ip98pro-mechanical-feel-keyboard-99-keys-membrane-keyboard-pbt-gradient-side-engraved-wired-wireless-keyboard-classic-keyboard-full-rgb-gaming-keyboard-office-silent-keyboard-garansi-1-tahun-1734508740688774697?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592311B9842E0A271F0F2P5H%26src%3Dsearch%26whid%3D21010405,FURYCUBE IP98/IP98PRO Mechanical Feel Keyboard 99 keys Membrane Keyboard PBT Gradient Side Engraved Wired/Wireless Keyboard Classic Keyboard Full RGB Gaming Keyboard Office Silent Keyboard (Garansi 1 tahun) keyboard,furycube ip98 ip98pro mechanical feel keyboard 99 keys membrane keyboard pbt gradient side engraved wired wireless keyboard classic keyboard full rgb gaming keyboard office silent keyboard garansi 1 tahun keyboard
keyboard,NYK Nemesis Centa KC80 / KC-80 Keyboard Combo 3in1 TKL Gaming Set,165000,Rp240.000,31,4.9,TokoTeknoPro,https://www.tokopedia.com/tokoteknopro/nyk-nemesis-centa-kc80-kc-80-keyboard-combo-3in1-tkl-gaming-set-hitam-2854f?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26qcpx_cache_key%3Dqcpx_cache%7C2026051812592620EF6D282372AF03AADF%7C7634488482710259464%7C959505576646164160%7C1864367587102161%26search_id%3D20260518045926577BCC914F9E552A26QJ%26src%3Dsearch%26whid%3D17875851,NYK Nemesis Centa KC80 / KC-80 Keyboard Combo 3in1 TKL Gaming Set keyboard,nyk nemesis centa kc80 kc 80 keyboard combo 3in1 tkl gaming set keyboard
